text,label,polylex,context
"Αν κάποια στιγμή πέσουν λίπη στα κάρβουνα και ανάψει φλόγα χρησιμοποιείστε ένα βαποριζατέρ νερού που πρέπει να έχετε πάντα δίπλα στην ψησταριά, οπότε με καλό σημάδι σβήνετε άμεσα την εστία της φωτιάς",0,0,1
Μέσα σε λίγα λεπτά άναψαν τα αίματα και ο διαπληκτισμός άρχισε να γίνεται όλο και πιο έντονος,1,1,1
"Σε ακραίες περιπτώσεις που έχετε κόψει βαθιά το δάχτυλό σας και η αιμορραγία δεν υποχωρεί, ασκείστε πίεση με το δάχτυλό σας στην κοντινότερη αρτηρία, ώστε να εμποδίσετε λίγο την ροή του αίματος σε εκείνο το σημείο και να του δώσετε χρόνο να πήξει στην πληγή",0,0,1
"Κάθε φορά που έμπαινε καλάθι, έβγαζαν τις ίδιες ακριβώς ιαχές για να πάει γούρι και να μην κόψει η μαγιονέζα",1,1,1
Έπεσε το ποτήρι από το χέρι μου κι έσπασε,0,0,1
Έπεσαν οι μάσκες και φάνηκε ξεκάθαρα το πραγματικό πρόσωπο του σάπιου κατεστημένου,1,1,1
Το γυαλί ακόμη κι αν ραγίσει μπορεί ξανά να κολλήσει και αυτό γίνεται με ένα πολύ απλό κόλπο που μπορεί να το κάνει ο καθένας στο σπίτι του,0,0,1
"Ράγισαν καρδιές χθες στο Μικτό Ορκωτό Δικαστήριο Ηρακλείου από τις περιγραφές του πατέρα του 17χρονου Αλβανού, που δολοφονήθηκε με τον πιο άγριο τρόπο μέσα στο φτωχικό διαμέρισμα των οικονομικών μεταναστών",1,1,1
Στην επόμενη σύγκρουσή σου με κάποιο έπιπλο ή κάποιον τοίχο πάρε το φακελάκι από το τσάι που έπινες και βάλε το στο σημείο που χτύπησες,0,0,1
Kτυπάω στο αδύνατο σημείο του εχθρού μου,1,1,0
Ντελίβερι αρνήθηκε να παραδώσει το φαγητό στον πελάτη επειδή ήταν μικρό το φιλοδώρημα και έφυγε,0,0,1
Έφυγε σαν κλέφτης από το σπίτι μου,1,1,0
"Η μόνη δικαιολογία που θα είχε ένας γονέας για να αντιταχθεί του νόμου και να υπερασπιστεί το δικαίωμα των παιδιών του στο να παίζουν μπάλα, θα ήταν ότι ο δήμος ή κοινότητα που μένει δεν διαθέτει χώρο ειδικό για τέτοιες δραστηριότητες",0,0,1
Δεν πρέπει να τον εμπιστεύεσαι γιατί το παίζει σε διπλό ταμπλό,1,1,1
"Μια νεαρή γυναίκα έπεσε από μπαλκόνι πολυκατοικίας, κάτω από αδιευκρίνιστες συνθήκες, στις 8 το βράδυ, στην οδό Κασσάνδρου στο κέντρο της Θεσσαλονίκης",0,0,1
Όμως οι συγγενείς της άτυχης γυναίκας επέμεναν ότι είχε υποστεί βασανιστήρια και έπεσε σε κώμα από τα χτυπήματα των ανακριτών,1,1,1
"Πλήρωσε μόνο για το δείπνο του, όταν έφτασε ο λογαριασμός",0,0,1
