text,label
αδειάζω τη γωνιά σε,1
αδειάζω πιστόλι πάνω σε,1
αλλάζω τον αδόξαστο σε,1
αλλάζω την πίστη σε,1
δεν αλλάζω ούτε κόμα σε,1
αλλάζω λόγια με,1
αλλάζω κουβέντες με,1
αλλάζω τα μυαλά σε,1
αλλάζω τα φώτα σε,1
αλλάζω τα πετρέλαια σε,1
αλλάζω τα πέταλα σε,1
ανάβω τα λαμπάκια σε,1
ανάβω φωτιά σε,1
ανάβω φωτιές σε,1
αναθέτω υποθέσεις σε,1
ανεβάζω την πίεση σε,1
ανοίγω δρόμο για,1
ανοίγω δρόμο σε,1
ανοίγω νέο δρόμο σε,1
ανοίγω καρδιά σε,1
ανοίγω νέους ορίζοντες σε,1
ανοίγω πανιά ,1
ανοίγω πληγές σε,1
ανοίγω παλιές πληγές σε,1
ανοίγω μια πόρτα σε,1
ανοίγω πουγκί για ,1
ανοίγω πυρ εναντίον,1
ανοίγω σπίτι σε,1
ανοίγω φτερά ,1
ανοίγω ψυχή σε,1
ανοίγω το μυαλό σε,1
ανοίγω τα μάτια σε,1
ανοίγω ορίζοντες σε,1
ανοίγω το λάκκο σε,1
ανοίγω την όρεξη σε,1
ανοίγω μέτωπο σε,1
ανοίγω τις πύλες του σε,1
ανοίγω την αγκαλιά μου σε,1
ανταλλάσσω βλέμματα με,1
ανταλλάσσω βρισιές με,1
ανταλλάσσω εντυπώσεις με,1
ανταλλάσσω βαριές κουβέντες με,1
ανταλλάσσω θερμή χειραψία με,1
ανταποδίδω τα ίσα σε,1
ανταποδίδω τα πυρά σε,1
απαγορεύω την είσοδο σε,1
απλώνω δίχτυα σε,1
απλώνω τα κουλά σε,1
απλώνω χείρα βοηθείας σε,1
απλώνω χέρι ,1
απλώνω χέρι σε,1
απλώνω τον ιστό μου σε,1
αποδίδω δικαιοσύνη σε,1
αποδίδω τα δίκαια σε,1
αποδίδω τα ίσα σε,1
αποκαθιστώ την ηρεμία ,1
αποκαθιστώ την τάξη ,1
αποκαλύπτω παιχνίδι σε,1
αποκαλύπτω χαρτιά σε,1
απολαμβάνω μεγάλης εμπιστοσύνης εκ μέρους του,1
απολαμβάνω μεγάλης τιμής εκ μέρους ,1
απονέμω αξιώματα σε,1
απονέμω βραβείο σε,1
απονέμω δικαιοσύνη σε,1
απονέμω τα εύσημα σε,1
απονέμω παράσημο σε,1
απονέμω χάρη σε,1
απονέμω τιμή σε,1
αποσπώ το βλέμμα του από,1
αποσπώ το νου του από,1
αποσπώ πληροφορίες από,1
αποσπώ την προσοχή του από,1
αποσπώ τις σκέψεις του από,1
αποσπώ τη σκέψη του από,1
αποσπώ το μυστικό από,1
αποσπώ χρήματα από,1
αποσπώ χρηματικά ποσά από,1
αποσπώ την αλήθεια από,1
αρνούμαι εύνοια σε,1
αρνούμαι υπακοή σε,1
αρνούμαι υποταγή σε,1
ασκώ δίωξη σε,1
ασκώ έφεση κατά,1
ασκώ πίεση σε,1
αστράφτω μία ανάποδη σε,1
αστράφτω μία ξανάστοφη σε,1
αφήνω μία τελευταία ευκαιρία σε,1
αφήνω θέση σε,1
αφήνω ίχνη σε,1
αφήνω κενό σε,1
αφήνω κόκκαλα ,1
αφήνω το πεδίο ελεύθερο σε,1
αφήνω πνοή ,1
αφήνω την προτεραιότητα σε,1
αφήνω το στίγμα μου σε,1
αφήνω τομάρι ,1
βάζω τα γυαλιά σε,1
βάζω ιδέες σε,1
βάζω κέρατα σε,1
βάζω μαχαίρι σε,1
βάζω κακό μπελά σε,1
βάζω μια μονοκοντυλιά σε,1
βάζω μυαλό σε,1
βάζω όρους σε,1
βάζω πανιά ,1
βάζω ένα πιάτο για,1
βάζω πλώρη ,1
βάζω σάλτσες σε,1
βάζω στοίχημα με,1
βάζω φρένο σε,1
βάζω φυτιλιές σε,1
βάζω τις φωνές σε,1
βάζω ένα χεράκι σε,1
βάζω χέρι σε,1
βάζω χέρι σε,1
βάζω χέρι σε,1
βάζω ψυχή ,1
βάζω το στίγμα μου σε,1
βάζω τέλος σε,1
βάζω ψυχή σε,1
βάζω λόγια σε,1
βάζω καπέλο σε,1
βγάζω γλώσσα σε,1
βγάζω μια γλωσσά σε,1
βγάζω γλώσσα σε,1
βγάζω δίσκο ,1
βγάζω το καπέλο σε,1
βγάζω το λάδι σε,1
βγάζω μάτια με,1
βγάζω μάτια πάνω σε,1
βγάζω τα μάτια σε,1
βγάζω ουρά από,1
βγάζω την πίστη σε,1
βγάζω συμπεράσματα για,1
δεν βγάζω τα πέρα με,1
δεν βγάζω άκρη με,1
βγαίνω αληθινός σε,1
βγάζω άκρη με,1
βλέπω το φως της μέρας ,1
βλέπω φως σε,1
δεν βλέπω φως σε,1
βουλώνω αυτιά σε,1
βουλώνω το στόμα σε,1
βουλώνω τρύπες σε,1
βρίσκω άσυλο ,1
βρίσκω διάβολο με,1
βρίσκω ευτυχία ,1
βρίσκω καταφύγιο ,1
βρίσκω λύση σε,1
βρίσκω μπελά με,1
βρίσκω παρηγοριά σε,1
βρίσκω πεδίο δράσης ,1
βρίσκω πεδίο συνεννόησης με,1
βρίσκω σανίδα σωτηρίας ,1
δεν βρίσκω άκρη με,1
βρίσκω πάτημα σε,1
γεμίζω το κεφάλι του με,1
γεμίζω τιs τσέπες του με,1
γεννάω υποψίες σε,1
γέρνω την πλάστιγγα υπέρ,1
γεφυρώνω το χάσμα με,1
γίνομαι ένα και το αυτό με,1
γίνομαι θυσία για,1
γίνομαι έμμονη ιδέα σε,1
γίνομαι στενός κορσές σε,1
γίνομαι πυρ και μανία με,1
γίνομαι τσιμπούρι σε,1
γίνομαι ρόμπα σε,1
γίνομαι ξεφτίλα σε,1
γίνομαι σκουπίδι για,1
γυρίζω πισινό σε,1
γυρίζω τις πλάτες σε,1
γυρίζω πλάτη σε,1
γυρίζω τα μυαλά σε,1
γυρνάω την πλάτη σε,1
γυρνάω μια νέα σελίδα σε,1
δείχνω την αγάπη μου σε,1
δείχνω τα δόντια σε,1
δείχνω εαυτό σε,1
δείχνω εαυτό σε,1
δείχνω εμπιστοσύνη σε,1
δείχνω την πόρτα σε,1
δείχνω πυγμή σε,1
δείχνω σεβασμό σε,1
δείχνω τα συναισθήματα μου σε,1
δείχνω χαρτιά σε,1
δέχομαι τις πρώτες φροντίδες από,1
δέχομαι τις αλλαγές σε,1
δημιουργώ αυταπάτες σε,1
δημιουργώ εντυπώσεις σε,1
δημιουργώ ένα κενό σε,1
δηλώνω συμμετοχή σε,1
διαλύω τις ελπίδες του για,1
διασταυρώνω τα ξίφη μου με,1
δίνω άδεια σε,1
δίνω αέρα σε,1
δίνω αίμα για,1
δίνω άκυρο σε,1
δίνω πληρωμένη απάντηση σε,1
δίνω άσυλο σε,1
δίνω βοήθεια σε,1
δίνω πρώτεs βοήθειες σε,1
δίνω τη χαριστική βολή σε,1
δίνω βυζί σε,1
δίνω γη κι ύδωρ σε,1
δεν δίνω δεκάρα για,1
δεν δίνω δεκαράκι για,1
δίνω διαστάσεις σε,1
δίνω δικαιώματα σε,1
δίνω δίκιο σε,1
δίνω δρόμο σε,1
δίνω μεγάλη έκταση σε,1
δίνω ελευθερία σε,1
δίνω την ελευθερία σε,1
δίνω το ελεύθερο σε,1
δίνω εξουσία σε,1
δίνω ευλογία σε,1
δίνω ζωή σε,1
δίνω ζωή σε,1
δίνω ζωή για,1
δίνω θάρρος σε,1
δίνω θετική ενέργεια σε,1
δίνω ιδέες σε,1
δίνω καρδιά σε,1
δίνω καταφύγιο σε,1
δίνω λευκή κόλλα σε,1
δίνω λαβή για,1
δίνω λαβές για,1
δίνω λογαριασμό σε,1
δίνω λόγο της τιμής σε,1
δίνω ένα Adj μάθημα σε,1
δίνω μαθήματα σε,1
δίνω τα μασημένα σε,1
δίνω Adj μάχη για,1
δίνω μάχη με,1
δίνω Dnum μήνες ζωής σε,1
δίνω νέα του σε,1
δίνω τη νίκη σε,1
δίνω μια Adj νότα σε,1
δίνω ένα μπερτάκι ξύλο σε,1
δίνω ένα χεράκι ξύλο σε,1
δίνω ένα χέρι ξύλο σε,1
δίνω τα σε,1
δίνω ένα όνομα σε,1
δίνω όνομα σε,1
δίνω ψεύτικο όνομα σε,1
δίνω τα σε,1
δίνω παραγγελία σε,1
δίνω το παράδειγμα σε,1
δεν δίνω ένα παρά για,1
δίνω το παρόν ,1
δίνω πασαπόρτι σε,1
δεν δίνω πεντάρα για,1
δίνω πίστη σε,1
δίνω πόδι σε,1
δίνω πνοή σε,1
δίνω το πράσινο φως σε,1
δίνω την προτεραιότητα σε,1
δίνω προσοχή σε,1
δίνω σάρκα και οστά σε,1
δίνω σημεία ζωής σε,1
δίνω σημασία σε,1
δίνω την σκυτάλη σε,1
δίνω στέγη σε,1
δίνω στήθος σε,1
δίνω ψεύτικα στοιχεία σε,1
δίνω συμβουλή σε,1
δίνω τέλος σε,1
δίνω τόπο σε,1
δίνω τον τόνο σε,1
δίνω μασημένη τροφή σε,1
δίνω υπόσταση σε,1
δίνω πέντε φάσκελα σε,1
δίνω το φιλί της ζωής σε,1
δεν δίνω φράγκο για,1
δίνω φρούδες ελπίδες σε,1
δίνω σε,1
δίνω φύλλο πορείας σε,1
δίνω χείρα βοηθείας σε,1
δίνω ένα χεράκι σε,1
δίνω τη χυλόπιτα σε,1
δίνω χώρο σε,1
δίνω την ψυχή μου σε,1
δίνω ψήφο σε,1
δίνω ψήφο εμπιστοσύνης σε,1
δίνω ψυχή σε,1
δοκιμάζω δυνάμεις σε,1
δρέπω δάφνες ,1
είμαι άσσος σε,1
είμαι κέρβερος σε,1
είμαι το κορόιδο σε,1
είμαι μάνα σε,1
είμαι μανίτσα σε,1
είμαι μανούλα σε,1
είμαι με,1
είμαι ξεφτέρι σε,1
είμαι πυρ και μανία εναντίον,1
είμαι πυρ και μανία με ,1
είμαι έξω φρενών με,1
εκφέρω άποψη για,1
εκφέρω άποψη πάνω σε,1
εκφέρω γνώμη για,1
εκφέρω γνώμη πάνω σε,1
εκφέρω κρίση για,1
εκφέρω κρίση πάνω σε,1
έλκω καταγωγή από,1
εμπιστεύομαι συμφέροντα σε,1
εμπνέω εμπιστοσύνη σε,1
εναποθέτω ελπίδες σε,1
εντείνω ενέργειες για,1
εντείνω προσοχή σε,1
εντείνω προσπάθειες για,1
εξαπολύω επιθέσεις εναντίον,1
εξαπολύω μύδρους εναντίον,1
εξαπολύω πυρά εναντίον,1
εξομολογούμαι αμαρτίες σε,1
επαναφέρω την ηρεμία ,1
επαναφέρω την τάξη ,1
επιβάλλω την ησυχία σε,1
επιβάλλω το σεβασμό σε,1
επιβάλλω την σιωπή σε,1
επιβάλλω την τάξη σε,1
επισύρω την προσοχή του σε,1
